iter	Passed	Remaining
0	0	75
1	2	113
2	3	114
3	4	107
4	5	107
5	7	110
6	8	109
7	9	107
8	10	107
9	11	105
10	12	104
11	14	103
12	15	103
13	16	102
14	17	101
15	19	99
16	20	98
17	21	98
18	22	96
19	23	95
20	25	94
21	26	93
22	27	92
23	28	89
24	28	86
25	29	83
26	29	80
27	30	78
28	30	75
29	31	73
30	32	71
31	32	69
32	33	67
33	33	65
34	34	63
35	35	62
36	35	60
37	36	59
38	36	57
39	37	56
40	38	54
41	38	52
42	38	51
43	39	50
44	39	48
45	40	47
46	41	46
47	41	45
48	42	43
49	42	42
50	43	41
51	43	40
52	44	39
53	44	38
54	45	37
55	45	36
56	46	35
57	46	34
58	47	33
59	48	32
60	48	31
61	49	30
62	49	29
63	50	28
64	51	27
65	51	26
66	52	25
67	52	24
68	53	23
69	53	23
70	54	22
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	57	17
77	58	16
78	58	15
79	59	14
80	59	14
81	60	13
82	61	12
83	61	11
84	62	10
85	62	10
86	63	9
87	63	8
88	64	7
89	64	7
90	65	6
91	65	5
92	66	5
93	67	4
94	67	3
95	68	2
96	68	2
97	69	1
98	69	0
99	70	0
